Material,Eg_0K_eV,Alpha_evK,Beta_K,me_eff,mh_eff,epsilon_r
InSb,0.235,0.00032,170,0.014,0.43,16.8
GaAs,1.519,0.0005405,204,0.063,0.51,12.9
CdS,2.583,0.0004022,80,0.19,0.8,5.7
ZnO,3.516,0.0023,253,0.24,0.59,8.5
CdSe,1.757,0.00037,150,0.112,0.45,9.7
InP,1.424,0.000491,327,0.08,0.6,12.5
PbS,0.286,-0.00041,145,0.087,0.083,17.2
PbSe,0.145,0,156,0.0467,0.0408,22.9
Ag2S,1,0,0,4.65,7.59,0
